date,BTC,ETH,XRP,BNB,DOT,ADA,USDT,LINK,UNI,XLM,GRT,CRO,LTC,FTT,BCH,USDC,SOL,DOGE,LUNA,WBTC,AAVE,1INCH,PCI,ATOM,HT,OKB,ALGO,TRX,XEM,SNX,COMP,NEO,EOS,XMR,VET,BSV,BRG,CEL,MIOTA,SUSHI,THETA,CRV,NU,XTZ,CAKE,CELO,RUNE,DASH,EGLD,KSM,DFI,BUSD,UMA,DAI,MKR,OMI,NEXO,CTC,FTM,FIL,LEO,MATIC,XVS,DCR,ZIL,ALPHA,BAL,VGX,ICX,ZRX,RVN,ETC,ZEC,BTT,ORN,INJ,GNO,BAND,QNT,YFI,REN,SRM,STX,NEAR,WAVES,REV,IOST,ONT,ROSE,SKL,HEGIC,HBAR,CHSB,KCS,RENBTC,EWT,XDC,PAX,DGB,LRC
2016-01-01,6524134695.055342,71131688.33701116,,,,,,,,,,,153210002.94623435,,,,,18438949.142226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20835006.587609857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-02,6521648043.058718,70982016.74144056,,,,,,,,,,,153037432.0933486,,,,,17314485.4024233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20537943.821951117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-03,6477798980.355735,73896588.25088648,,,,,,,,,,,152080629.97819716,,,,,17316822.6724233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19935047.981473282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-04,6519164985.137792,72558319.74786766,,,,,,,,,,,153143565.39334857,,,,,15269546.275509449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20682430.168169692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-05,6488962702.75689,72493279.62970579,,,,,,,,,,,151922267.54598382,,,,,18141456.823189076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20182958.200258587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-06,6484762869.632012,72878164.72991262,,,,,,,,,,,151446706.7440575,,,,,18553920.18857188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20719355.1106397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-07,6881260155.396654,72461252.39095333,,,,,,,,,,,157602395.82366627,,,,,17849018.62878637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20690967.183853157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-08,6820285512.27299,75244398.35962509,,,,,,,,,,,156598670.28856263,,,,,17482298.71694202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20245456.372634847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-09,6753303645.024447,75233397.82292221,,,,,,,,,,,155637936.12653688,,,,,19638209.40020174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19535804.719882056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-10,6723320226.893546,75963283.71231422,,,,,,,,,,,155075219.0815808,,,,,18358826.46588048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20334559.562798817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-11,6748277520.291084,79880983.16805033,,,,,,,,,,,156227416.92413595,,,,,22556703.48641965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19243816.92428226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-12,6709774533.620888,88013554.98240148,,,,,,,,,,,155053577.8279741,,,,,21544086.13259721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18465612.432110015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-13,6517486082.763157,86514225.76084937,,,,,,,,,,,153252668.30873048,,,,,21546996.73259784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19019311.39469609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-14,6472917446.116105,88993326.99823898,,,,,,,,,,,152111646.4762705,,,,,18994670.71658981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20691692.645728078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-15,5616236291.308627,93158045.69224216,,,,,,,,,,,138455149.94612965,,,,,19007493.875224195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20189536.435653236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-16,5810413315.482174,93190324.33536716,,,,,,,,,,,134930433.3112497,,,,,17963079.110498026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23695970.346195433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-17,5773074773.690232,100116733.0511016,,,,,,,,,,,133165261.50570892,,,,,16630922.648003887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31313465.88047841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-18,5803869090.008694,107047958.1152737,,,,,,,,,,,133873009.53936696,,,,,15298395.655509746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26797294.52784884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-19,5730544131.385273,104631509.90835269,,,,,,,,,,,133077525.80089974,,,,,16019279.069929669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24757877.061503835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-20,6262496149.242467,117089845.87739344,,,,,,,,,,,148436003.45869556,,,,,16432250.615312481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28899137.99712861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-21,6198342744.500434,119200475.25275427,,,,,,,,,,,141992263.01634434,,,,,16434469.815312482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31565193.462245427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-22,5783167306.604648,114176974.24572623,,,,,,,,,,,136164774.04707357,,,,,17463956.57876968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30634500.442370255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-23,5874982586.576427,154589820.93751502,,,,,,,,,,,137400416.02015856,,,,,20856840.43817791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27575869.909032788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-24,6081096238.453684,162630304.75352344,,,,,,,,,,,140141625.42786905,,,,,17119322.255194288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27080555.67530159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-25,5940991763.7560215,189722051.62902835,,,,,,,,,,,138021974.9470855,,,,,22095744.864326358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24691110.06666322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-26,5897474614.645132,166967958.52880734,,,,,,,,,,,138556997.30093494,,,,,20299999.25327674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27737441.566392332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-27,5978287904.709246,185010774.78427985,,,,,,,,,,,145019287.34713176,,,,,21803586.526923817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26365442.016364418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
