date,BTC,ETH,XRP,BNB,DOT,ADA,USDT,LINK,UNI,XLM,GRT,CRO,LTC,FTT,BCH,USDC,SOL,DOGE,LUNA,WBTC,AAVE,1INCH,PCI,ATOM,HT,OKB,ALGO,TRX,XEM,SNX,COMP,NEO,EOS,XMR,VET,BSV,BRG,CEL,MIOTA,SUSHI,THETA,CRV,NU,XTZ,CAKE,CELO,RUNE,DASH,EGLD,KSM,DFI,BUSD,UMA,DAI,MKR,OMI,NEXO,CTC,FTM,FIL,LEO,MATIC,XVS,DCR,ZIL,ALPHA,BAL,VGX,ICX,ZRX,RVN,ETC,ZEC,BTT,ORN,INJ,GNO,BAND,QNT,YFI,REN,SRM,STX,NEAR,WAVES,REV,IOST,ONT,ROSE,SKL,HEGIC,HBAR,CHSB,KCS,RENBTC,EWT,XDC,PAX,DGB,LRC
2016-01-01,433.99,0.9339,0.005894,,,,1.15,,,0.001675,,,3.493,,,,,0.00018,,,,,,,,,,,0.0001606,,,,,0.503,,,,,,,,,,,,,,3.413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0001302,
2016-01-02,433.72,0.9316,0.005125,,,,1.15,,,0.001813,,,3.488,,,,,0.000169,,,,,,,,,,,0.0001692,,,,,0.5257,,,,,,,,,,,,,,3.363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0001301,
2016-01-03,430.7,0.9695,0.005922,,,,1.15,,,0.001723,,,3.465,,,,,0.000169,,,,,,,,,,,0.0001723,,,,,0.4944,,,,,,,,,,,,,,3.263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0001292,
2016-01-04,433.32,0.9516,0.005962,,,,1.15,,,,,,3.488,,,,,0.000149,,,,,,,,,,,0.0001993,,,,,0.5027,,,,,,,,,,,,,,3.384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0001257,
2016-01-05,431.2,0.9504,0.006015,,,,1.121,,,0.001686,,,3.459,,,,,0.000177,,,,,,,,,,,0.0001854,,,,,0.5023,,,,,,,,,,,,,,3.301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0001337,
2016-01-06,430.82,0.9551,0.005,,,,1.15,,,0.001327,,,3.447,,,,,0.000181,,,,,,,,,,,0.0001896,,,,,0.5097,,,,,,,,,,,,,,3.383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0001292,
2016-01-07,457.05,0.9493,0.005,,,,1.15,,,0.001764,,,3.586,,,,,0.0001741,,,,,,,,,,,0.0002559,,,,,0.4909,,,,,,,,,,,,,,3.377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0001371,
2016-01-08,452.87,0.9854,0.005,,,,1.15,,,,,,3.562,,,,,0.0001705,,,,,,,,,,,0.0002581,,,,,0.4973,,,,,,,,,,,,,,3.303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0001359,
2016-01-09,448.31,0.9849,0.00594,,,,1.15,,,0.001726,,,3.539,,,,,0.0001915,,,,,,,,,,,0.0002555,,,,,0.4931,,,,,,,,,,,,,,3.186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0001973,
2016-01-10,446.19,0.9941,0.005921,,,,1.15,,,0.001771,,,3.525,,,,,0.000179,,,,,,,,,,,0.0002543,,,,,0.4886,,,,,,,,,,,,,,3.315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0002142,
2016-01-11,447.72,1.045,0.005874,,,,1.15,,,0.001773,,,3.55,,,,,0.0002199,,,,,,,,,,,0.0002507,,,,,0.4858,,,,,,,,,,,,,,3.136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0001701,
2016-01-12,445.04,1.151,0.005812,,,,1.15,,,,,,3.522,,,,,0.00021,,,,,,,,,,,0.0002626,,,,,0.5016,,,,,,,,,,,,,,3.008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0001558,
2016-01-13,432.18,1.131,0.005726,,,,1.123,,,0.001729,,,3.48,,,,,0.00021,,,,,,,,,,,0.000255,,,,,0.4853,,,,,,,,,,,,,,3.097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0001383,
2016-01-14,429.13,1.163,0.00479,,,,1.15,,,0.00212,,,3.453,,,,,0.0001851,,,,,,,,,,,0.0002875,,,,,0.4901,,,,,,,,,,,,,,3.368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0001459,
2016-01-15,372.26,1.217,0.00505,,,,1.02,,,0.001545,,,3.142,,,,,0.0001852,,,,,,,,,,,0.0002606,,,,,0.4367,,,,,,,,,,,,,,3.285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0001303,
2016-01-16,385.04,1.217,0.004892,,,,1.04,,,0.001613,,,3.061,,,,,0.000175,,,,,,,,,,,0.0002772,,,,,0.4963,,,,,,,,,,,,,,3.854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0001348,
2016-01-17,382.47,1.307,0.004917,,,,1.02,,,0.002796,,,3.02,,,,,0.000162,,,,,,,,,,,0.0002945,,,,,0.4307,,,,,,,,,,,,,,5.091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0001224,
2016-01-18,384.4,1.397,0.005232,,,,1.02,,,0.002014,,,3.035,,,,,0.000149,,,,,,,,,,,0.0003421,,,,,0.4963,,,,,,,,,,,,,,4.355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000123,
2016-01-19,379.46,1.365,0.005245,,,,1.02,,,0.001764,,,3.016,,,,,0.000156,,,,,,,,,,,0.0005578,,,,,0.5278,,,,,,,,,,,,,,4.022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0001176,
2016-01-20,414.58,1.527,0.005433,,,,1.02,,,0.001679,,,3.363,,,,,0.00016,,,,,,,,,,,0.000597,,,,,0.5294,,,,,,,,,,,,,,4.693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0001451,
2016-01-21,410.24,1.554,0.005241,,,,1.02,,,0.002006,,,3.216,,,,,0.00016,,,,,,,,,,,0.0004718,,,,,0.5579,,,,,,,,,,,,,,5.124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0001559,
2016-01-22,382.65,1.488,0.005231,,,,1.071,,,0.001634,,,3.083,,,,,0.00017,,,,,,,,,,,0.0004477,,,,,0.5384,,,,,,,,,,,,,,4.971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0001492,
2016-01-23,388.61,2.014,0.00512,,,,1.088,,,0.00164,,,3.11,,,,,0.000203,,,,,,,,,,,0.0004741,,,,,0.6319,,,,,,,,,,,,,,4.473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0001399,
