date,BTC,ETH,XRP,BNB,DOT,ADA,USDT,LINK,UNI,XLM,GRT,CRO,LTC,FTT,BCH,USDC,SOL,DOGE,LUNA,WBTC,AAVE,1INCH,PCI,ATOM,HT,OKB,ALGO,TRX,XEM,SNX,COMP,NEO,EOS,XMR,VET,BSV,BRG,CEL,MIOTA,SUSHI,THETA,CRV,NU,XTZ,CAKE,CELO,RUNE,DASH,EGLD,KSM,DFI,BUSD,UMA,DAI,MKR,OMI,NEXO,CTC,FTM,FIL,LEO,MATIC,XVS,DCR,ZIL,ALPHA,BAL,VGX,ICX,ZRX,RVN,ETC,ZEC,BTT,ORN,INJ,GNO,BAND,QNT,YFI,REN,SRM,STX,NEAR,WAVES,REV,IOST,ONT,ROSE,SKL,HEGIC,HBAR,CHSB,KCS,RENBTC,EWT,XDC,PAX,DGB,LRC
2016-01-01,15032914.8023119,76166279.4057299,,,,,,,,,,,43862010.5772214,,15032814.8023119,,,102438606345.7,,,,,,,,,,,,,,,,,,15032814.8020641,,,,,,,,,,,,6104601.98875179,,,,,,,,,,,,,,,,,,,,,,,,76166279.40573,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-02,15036539.8023119,76193663.31198,,,,,,,,,,,43875410.5772215,,15036439.8023118,,,102452576345.7,,,,,,,,,,,,,,,,,,15036439.8020641,,,,,,,,,,,,6107030.57447253,,,,,,,,,,,,,,,,,,,,,,,,76193663.31198,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-03,15040164.8023119,76221339.09323,,,,,,,,,,,43890513.7022214,,15040064.8023118,,,102466406345.7,,,,,,,,,,,,,,,,,,15040064.8020641,,,,,,,,,,,,6109423.22447848,,,,,,,,,,,,,,,,,,,,,,,,76221339.09323,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-04,15044689.8023119,76248759.71823,,,,,,,,,,,43905838.7022215,,15044589.8023119,,,102480176345.701,,,,,,,,,,,,,,,,,,15044589.8020641,,,,,,,,,,,,6111829.24591303,,,,,,,,,,,,,,,,,,,,,,,,76248759.71823,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-05,15048614.8023119,76276598.93698,,,,,,,,,,,43920863.7022214,,15048514.8023118,,,102494106345.701,,,,,,,,,,,,,,,,,,15048514.8020641,,,,,,,,,,,,6114195.15306228,,,,,,,,,,,,,,,,,,,,,,,,76276598.93698,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-06,15052139.8023119,76304224.4057299,,,,,,,,,,,43935801.2022215,,15052039.8023119,,,102507846345.701,,,,,,,,,,,,,,,,,,15052039.8020641,,,,,,,,,,,,6124550.72735433,,,,,,,,,,,,,,,,,,,,,,,,76304224.40573,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-07,15055814.8023119,76331246.5932301,,,,,,,,,,,43949357.4522215,,15055714.8023118,,,102521646345.7,,,,,,,,,,,,,,,,,,15055714.8020641,,,,,,,,,,,,6127026.11307467,,,,,,,,,,,,,,,,,,,,,,,,76331246.59323,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-08,15060139.8023119,76359243.31198,,,,,,,,,,,43963691.8272214,,15060039.8023119,,,102535476345.701,,,,,,,,,,,,,,,,,,15060039.8020641,,,,,,,,,,,,6129414.58450949,,,,,,,,,,,,,,,,,,,,,,,,76359243.31198,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-09,15063914.8023119,76386839.09323,,,,,,,,,,,43977941.8272215,,15063814.8023119,,,102549396345.701,,,,,,,,,,,,,,,,,,15063814.8020641,,,,,,,,,,,,6131765.44880165,,,,,,,,,,,,,,,,,,,,,,,,76386839.09323,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-10,15068289.8023119,76414127.0619799,,,,,,,,,,,43992969.9522215,,15068189.8023119,,,102563276345.701,,,,,,,,,,,,,,,,,,15068189.8020641,,,,,,,,,,,,6134105.44880809,,,,,,,,,,,,,,,,,,,,,,,,76414127.06198,,,,,,,,,,,,,,,,,,,,,,,,,,,,
